"","url","observation","date","id_code","count","max_at_once","notes"
"2337","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","980 brown skua catharacta lonnbergi 7 (3)","24th-july-2005","980","7","3",NA
"2338","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","981 kelp gull larus dominicanus 4 (3)","24th-july-2005","981","4","3",NA
"2339","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","125 silver gull l. novaehollandiae 585+ (200+)","24th-july-2005","125","585+","200",NA
"2340","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","114 white-fronted tern sterna striata 8 (6)","24th-july-2005","114","8","6",NA
"2341","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","115 crested tern s. bergii 32 (13)in the harbour:","24th-july-2005","115","32","13",":"
"2342","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","100 little black cormorant phalacrocorax sulcirostris 5 (3)","24th-july-2005","100","5","3",NA
"2343","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 8 (5)","24th-july-2005","106","8","5",NA
"2344","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","226 white-bellied sea-eagle haliaeetus leucocaster 1 adultmammals:","24th-july-2005","226","1",NA,":"
"2345","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","005 little penguin eudyptula minor 1","23rd-july-2005","005","1",NA,"1"
"2346","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","929southern giant-petrel macronectes giganteus 4 (2)","23rd-july-2005","929","4","2",NA
"2347","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","937northern giant-petrel m. halli 1","23rd-july-2005","937","1",NA,"1"
"2348","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","971 solanders petrel pterodroma solandri 2 (1)","23rd-july-2005","971","2","1",NA
"2349","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","083 fairy prion pachyptila turtur 1","23rd-july-2005","083","1",NA,"1"
"2350","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","068 fluttering shearwater puffinus gavia 46 (25)","23rd-july-2005","068","46","25",NA
"2351","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","086 wandering albatross diomedea exulans 2 (1) adult males","23rd-july-2005","086","2","1","adult males"
"2352","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","846 antipodean albatross d. antipodensis 1 male","23rd-july-2005","846","1",NA,"1 male"
"2353","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","847 gibsons albatross d. gibsoni 2 (2)","23rd-july-2005","847","2","2",NA
"2354","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","088 black-browed albatross thalassarche melanophrys 37 (12)","23rd-july-2005","088","37","12",NA
"2355","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","859 campbell albatross t. impavida 2 (1)","23rd-july-2005","859","2","1",NA
"2356","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","931 bullers albatross t. bulleri 1 adult","23rd-july-2005","931","1",NA,"1 adult"
"2357","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","861 shy albatross t. cauta 1 first year","23rd-july-2005","861","1",NA,"1 first year"
"2358","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","861 white-capped albatross t. steadi 1 adult","23rd-july-2005","861","1",NA,"1 adult"
"2359","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","864indic yellow-nosed albatross t.carteri 112 (45)","23rd-july-2005","864","112","45",NA
"2360","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","104 australasian gannet morus serrator 84+ (75+)","23rd-july-2005","104","84+","75",NA
"2361","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 4 (2)","23rd-july-2005","106","4","2",NA
"2362","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","980 brown skua catharacta lonnbergi 6 (4)","23rd-july-2005","980","6","4",NA
